TERM,DEFINITION
AGES,"For the purposes of the morphology of symbols an age is exactly the same as a phase. The lunar “model” of the four phases (of waxing fullness waning and disappearance) has sometimes been reduced to two or three phases and sometimes increased to five. The phases in the span of human life have undergone similar fluctuations but in general they are four with death either omitted or combined with the final phase of old age. The division into four parts—quite apart from the importance of its relationship with the four phases of the moon—coincides with the solar process and the annual cycle of the seasons as well as with the spatial arrangement of the four points of the compass on the conceptual plane. The cosmic ages have been applied to the era of human existence and also to the life of a race or an empire. In Hindu tradition the Manvantara also called Mahâ-Yuga (or the Great Cycle) comprises four yuga or secondary periods which were said to be the same as the four ages in Graeco-Roman antiquity. In India these same ages are called after four throws in the game of dice: krita tretâ dvâpara and kali. In classical times the ages are associated with the symbolism of metals giving the “golden age,” “silver age,” “bronze age” and “iron age.” The same symbolic pattern—which in itself is an interpretation—is found in the famous dream of Nebuchadnezzar (Daniel ii) as well as in the figure of the “Old Man of Crete” in Dante’s Commedia (Inferno XIV ll. 94–120) (60 27). Progress from the purest metal to the most malleable—from gold to iron—implies involution. For this reason René Guénon comments that the successive ages as they “moved away from the Beginning,” have brought about a gradual materialization (28). And for this reason too William Blake observed that “Progress is the punishment of God.” So that progress in life—in an individual’s existence—is tantamount to gradual surrender of the golden values of childhood up to the point in which the process of growing old is terminated by death. The myths concerning the “Golden Age” find their origin according to Jung in an analogy with childhood—that period when nature heaps gifts upon the child without any effort on his part for he gets all he wants. But in addition and in a deeper sense the Golden Age stands for life in unconsciousness for unawareness of death and of all the problems of existence for the “Centre” which precedes time or which within the limitations of existence seems to bear the closest resemblance to paradise. Ignorance of the world of existence creates a kind of golden haze but with the growing understanding of concepts of duty the father-principle and rational thinking the world can again be apprehended (31). The aims of surrealism are nothing short of reintegrating as far as is practicable this state of emotional irrationality characteristic of primigenial peoples."
AGRICULTURE,Its allegorical representation is the figure of a goddess like Ceres in appearance (with whom it may be identified) but with a plough and a plant bearing its first blossom. Sometimes the allegorical figure carries a cornucopia full of fruits and flowers or has both hands leaning on a spade or a hoe. The Zodiac is also included to indicate the importance of the yearly cycle and the sequence of the seasons and the work that each season implies (8).
AIR,Of the four Elements air and fire are regarded as active and male; water and earth as passive and female. In some elemental cosmogonies fire is given pride of place and considered the origin of all things but the more general belief is that air is the primary element. Compression or concentration of air creates heat or fire from which all forms of life are then derived. Air is essentially related to three sets of ideas: the creative breath of life and hence speech; the stormy wind connected in many mythologies with the idea of creation; and finally space as a medium for movement and for the emergence of life-processes. Light flight lightness as well as scent and smell are all related to the general symbolism of air (3). Gaston Bachelard says that for one of its eminent worshippers Nietzsche air was a kind of higher subtler matter the very stuff of human freedom. And he adds that the distinguishing characteristic of aerial nature is that it is based on the dynamics of dematerialization. Thoughts feelings and memories concerning heat and cold dryness and humidity and in general all aspects of climate and atmosphere are also closely related to the concept of air. According to Nietzsche air should be cold and aggressive like the air of mountain tops. Bachelard relates scent to memory and by way of example points to Shelley’s characteristic lingering over reminiscences of smell.
ALCHEMY,"Alchemy’s true beginning dates to the third and fourth centuries A.D. in works like the Chrysopoeia of Cleopatra and it was practiced mainly by the Alexandrian Greeks and the Arabs. It was essentially a symbolic process involving the endeavour to make gold regarded as the symbol of illumination and salvation. Four different colours denoted the essential stages of the process as being ‘prime matter’ (a symbol for the soul in its original state): black (guilt origin latent forces); white (minor work first transmutation quicksilver); red (sulphur passion); and finally gold. Piobb analyses the symbolic meaning of the various operations. The first known as calcination stood for the “death of the profane,” i.e. the extinction of all interest in life and in the manifest world; the second putrefaction was a consequence of the first consisting of the separation of the destroyed remains; solution the third denoted the purification of matter; distillation the fourth was the “rain” of purified matter i.e. of the elements of salvation isolated by the preceding operations; fifthly conjunction symbolized the joining of opposites (the coincidentia oppositorum identified by Jung with the close union in Man of the male principle of consciousness with the female principle of the unconscious); sublimation the sixth stage symbolized the suffering resulting from the mystic detachment from the world and the dedication to spiritual striving. In emblematic designs this stage is depicted by a wingless creature borne away by a winged being or sometimes it is represented by the Prometheus myth. The final stage is philosophic congelation i.e. the binding together inseparably of the fixed and the volatile principles (the male/invariable with the female/“saved” variable). Alchemical evolution is epitomized then in the formula Solve et Coagula (that is to say: “analyse all the elements in yourself dissolve all that is inferior in you even though you may break in doing so; then with the strength acquired from the preceding operation congeal”) (48). In addition to this specific symbolism alchemy may be seen as the pattern of all other work. It shows that virtues are exercised in every kind of activity even the humblest and that the soul is strengthened and the individual develops. Evola (Tradizione Ermetica) writes: “Our Work is the conversion and change of one being into another being one thing into another thing weakness into strength bodily into spiritual nature. . . .” On the subject of the hermaphrodite Eugenio d’Ors (Introducción a la vida angélica) writes: “That which failed to ‘become two in one flesh’ (love) will succeed in ‘becoming two in one spirit’ (individuation).”"
ALCOHOL,Alcohol or life-water (aqua vitae) is fire-water i.e. a symbol of the coincidentia oppositorum the conjunction of opposites where two principles one of them active the other passive come together in a fluid and shifting creative/destructive relationship. Particularly when burning alcohol symbolizes one of the great mysteries of Nature; Bachelard aptly says that when alcohol burns “it seems as if the ‘female’ water losing all shame frenziedly gives herself to her master fire” (1 2).
ALLEGORIES,"These are graphic or artistic depictions poetic and literary images which symbolize largely conscious closed ideas based on personification. Allegory clearly served a broad function given the zealous anthropomorphism of Greek civilization which was later transferred to Rome reaching into the Middle Ages through Latino-Christian and Byzantine poets. Widely in use throughout these periods and perhaps even more so in the Renaissance and Baroque periods it can also be said that allegory has extended to our times. Though they are not symbols themselves allegories are constructed on certain types of symbolic material or else they incorporate it and can suddenly experience a “resurrection” from their stony state as semi-truths. It’s been said that the symbol provides the image (and the emotion) of a superior form of reality while the allegory on the contrary materializes—albeit aesthetically—abstract ideas virtues etc. in a more ordinary way. With respect to the symbol the allegory is found at the extreme opposite similar to that of the conventional sign though it possesses a much greater value from the historical and humanistic perspectives. Since the human figure is incapable of representing the amount of abstractions it wishes to allegorize it must resort to the attribute (a characteristic object being even scenery which is regularly associated with personification). It’s impossible to formulate here a history of the allegory; I will only mention that Greek mythology cites as “allegorical divinities” Fortune Vengeance Liberty Opportunity Fame Peace Toil Night and Death. Allegories are frequently found on Greek coins but appear more systematically on the reverse side of Roman Imperial coins where divinities and effigies of the emperor are alternated. The most frequent allegories are: Abundance Equality Eternity Riches Good Luck Mercy Harmony Mirth Faith Fortune Joy Honour Tolerance Justice Generosity Liberty Patience Peace Humility Health Conviction Hope Fertility Victory Virtue. Surely the horns of plenty wings arms palm trees scales etc. aren’t enough to make the allegories discernible but epigraphs are regularly there to explain them. During the Middle Ages they ornamented church sculptures; in the Amiens Cathedral there is Charity Hope and Desperation etc. (virtues and vices) expressed more for their actions than their attributes. They can be found in literature during the same period and even earlier. More recently the Roman Christian poet Prudencio used them abundantly and Petrarch very frequently reaching a highpoint in Guillaume de Lorris’s The Romance of the Rose which includes personifications such as Lady Leisure Youth Openness together with others in wider use. The Rose allegorizes love. In the late Middle Ages and through Romanticism allegories and emblems were used as pictographic embellishments and princes occasionally employed them as ornamentation for an entrance into a city or other solemn acts. There were allegorical carriages in the entourage of Alfonso V the Magnanimous when he entered Naples. Eighteenth-century ceilings are flush with mythological and allegorical figures. In the 19th century personifications of Industry (with the gearwheel) and Commerce (with its caduceus extricated from its symbolic function) were customary. These manifestations lack symbolic value because they were crafted without sentiment or simply from an aesthetic sentiment. But there are renowned allegories in the history of art that have an evidently symbolic background; such as Giovanni Bellini’s Naked Young Woman in Front of the Mirror (Venus dominating the world) Durero’s Knight Death and the Devil or his Melancholia Juan de Valdés Leal’s “hieroglyphs of our afterlife,” as he liked to describe his oil canvases In Ictu Oculi (“In the Blink of an Eye”) and Finis Gloriae Mundi (“End of the World’s Glory”) or Goya’s The Colossus etc. But the symbol resides in the life that can be set in motion from these works’ contact with the spirit more than in the works themselves since in reality they are examples of iconography."
ALMOND TREE,Traditionally a symbol of sweetness and delicacy. As it is one of the first trees to blossom late frosts can destroy its flowers. The precise observation of Nature constantly practised by primitive man is the source of this symbolic analogy as of so many others which might at first seem merely artificial allegories (8).
ALPHA AND OMEGA,The first and last letters of the Greek alphabet standing therefore for the beginning and end of all things. They are very frequently used in this sense in Romanesque art. Because of its shape alpha is related to the pair of compasses an attribute of god the creator; while omega is similar to a torch i.e. to the fire of apocalyptic destruction. Animal figures have also been associated with this symbolism. In the frontispiece of a 12th-century manuscript of Paulus Orosius (Bibl. Laon 137) alpha and omega appear respectively as a bird and a fish i.e. the upper and the lower abyss.
AMPHISBAENA,"A fabulous animal keeper of the “Great Secret,” according to a 16th-century Italian manuscript which belonged to Count Pierre V. Piobb. It is a symbol which occurs with some frequency in heraldic images marks and signs. It was known to the Greeks and it owes its name to the belief that having a head at both ends it could move forward or backward with equal ease. Sometimes it is depicted with the claws of a bird and the pointed wings of a bat (48). According to Diel (15) it was probably intended to express the horror and anguish associated with ambivalent situations. Like all fabulous animals it instances the ability of the human mind to reorder aspects of the real world according to supra-logical laws blending them into patterns expressive of man’s motivating psychic forces."
ANCHOR,In the emblems signs and graphic representations of the early Christians the anchor always signified salvation and hope. It was often shown upside down with a star cross or crescent to denote its mystic nature. The Epistle to the Hebrews says: “Which hope we have as an anchor of the soul” (4).
ANGEL,A symbol of invisible forces of the powers ascending and descending between the Source-of-Life and the world of phenomena (50). Here as in other cases (such as the Cross) the symbolic fact does not modify the real fact. In alchemy the angel symbolizes sublimation i.e. the ascension of a volatile (spiritual) principle as in the figures of the Viatorium spagyricum. The parallelism between angelic orders and astral worlds has been traced with singular precision by Rudolf Steiner in Les Hiérarchies spirituelles following the treatise on the celestial hierarchies by the Pseudo-Dionysius. From the earliest days of culture angels figure in artistic iconography and by the 4th millennium B.C. little or no distinction is made between angels and winged deities. Gothic art in many remarkable images expresses the protective and sublime aspects of the angel-figure while the Romanesque tends rather to stress its other-worldly nature.
ANIMALS,"Of the utmost importance in symbolism both in connexion with their distinguishing features their movement shapes and colours and because of their relationship with man. The origins of animal symbolism are closely linked with totemism and animal worship. The symbolism of any given animal varies according to its position in the symbolic pattern and to the attitude and context in which it is depicted. Thus the frequent symbol of the “tamed animal” can signify the reversal of those symbolic meanings associated with the same animal when wild. In the struggle between a knight and a wild or fabulous animal—one of the most frequent themes in symbolism—the knight’s victory can consist either in the death or in the taming of the animal. In Chrétien de Troyes’ mediaeval romance Yvain the hero is assisted by a lion. In the legend of St. George the conquered dragon serves its conqueror. In the West some of the earliest references to animal symbolism are found in Aristotle and in Pliny but the most important source is the treatise Physiologus written in Alexandria in the 2nd century A.D. Another important contribution was made one or two centuries later by Horapollo with his two treatises on Hieroglyphica based on Egyptian symbolism. From these sources flows a stream of mediaeval animal symbolism which produced such notable bestiaries as that of Philip of Thaun (A.D. 1121) Peter of Picardy and William of Normandy (13th century); or the De Animalibus attributed to Albertus Magnus; Libre de les besties of Raymond Lull; and Fournival’s Bestiaire d’Amour (14th century). The primitives’ view of animals as analysed by Schneider (50) is mirrored in all these works namely that while man is an equivocal “masked” or complex being the animal is univocal for its positive or negative qualities remain ever constant thus making it possible to classify each animal once and for all as belonging to a specific mode of cosmic phenomena. More generally the different stages of animal evolution as manifested by the varying degrees of biological complexity ranging from the insect and the reptile to the mammal reflect the hierarchy of the instincts. In Assyrian and Persian bas-reliefs the victory of a higher over a lower animal always stands for the victory of the higher life over the lower instincts. A similar case is in the characteristic struggle of the eagle with the snake as found in pre-Columbian America. The victory of the lion over the bull usually signifies the victory of Day over Night and by analogy Light triumphing over Darkness and Good over Evil. The symbolic classification of animals is often related to that of the four Elements. Animals such as the duck the frog and the fish however much they may differ one from the other are all connected with the idea of water and hence with the concept of the “primal waters”; consequently they can stand as symbols of the origin of things and of the powers of rebirth (37 9). On the other hand some animals such as dragons and snakes are sometimes assigned to water sometimes to earth and sometimes even to fire (17). However the most generally accepted classification—which is also the most fundamentally correct—associates aquatic and amphibious animals with water; reptiles with earth; birds with air; and mammals (because they are warm-blooded) with fire. For the purposes of symbolic art animals are subdivided into two categories: natural (often in antithetical pairs: toad/frog owl/eagle etc.) and fabulous. Within the cosmic order the latter occupy an intermediate position between the world of fully differentiated beings and the world of formless matter (50). They may have been suggested by the discovery of skeletons of antediluvian animals and also by certain beings which though natural are ambiguous in appearance (carnivorous plants sea urchins flying fish bats) and thus stand for flux and transformism and also for purposeful evolution towards new forms. In any event fabulous animals are powerful instruments of psychological projection. The most important fabulous animals are: chimaera sphinx lamia minotaur siren triton hydra unicorn griffin harpy winged horse hippogryph dragon etc. In some of these the transmutation is a simple one and clearly positive in character—such as Pegasus’ wings (the spiritualization of a lower force)—but more often the symbol is a consequence of a more complex and ambiguous process of the imagination. The result is a range of highly ambivalent symbols whose significance is heightened by the ingrained belief in the great powers exercised by such beings as well as in the magic importance of abnormality and deformity. In addition there are animals which while hardly or not at all fabulous in appearance are credited with non-existential or supernatural qualities as the result of a symbolic projection (for example the pelican phoenix salamander). There is a fragment by Callimachus on the Age of Saturn in which animals have the power of speech (this being a symbol of the Golden Age which preceded the emergence of the intellect—Man—when the blind forces of Nature not yet subject to the logos were endowed with all sorts of extraordinary and exalted qualities). Hebrew and Islamic traditions also include references to “speaking animals” (35). Another interesting classification is that of “lunar animals,” embracing all those animals whose lifespan includes some kind of cyclic alternation with periodic appearances and disappearances (18). The symbolism of such animals includes in addition to the animal’s specific symbolic significance a whole range of lunar meanings. Schneider also mentions a very curious primitive belief: namely that the voice of those animals which can be said to serve as symbols of heaven is high-pitched if the animal is large (the elephant for example) but low-pitched if the animal is small (as the bee); while the converse is true of earth-symbol animals. Some animals in particular the eagle and the lion seem to embody certain qualities such as beauty and the fighting spirit to such an extent that they have come to be universally accepted as the allegorical representations of these qualities. The emblematic animals of Roman signa were: eagle wolf bull horse and wild boar. In symbolism whenever animals (or any other symbolic elements) are brought together in a system the order of arrangement is always highly significant implying either hierarchical precedence or relative position in space. In alchemy the descending order of precedence is symbolized by different animals thus: the phoenix (the culmination of the alchemical opus) the unicorn the lion (the necessary qualities) the dragon (prime matter) (32). Symbolic groups of animals are usually based on analogical and numerical patterns: the tetramorphs of Western tradition as found in the Bible are a fundamental example; another example would be the Chinese series of the four benevolent animals: the unicorn phoenix turtle and dragon. The following animals occur particularly in Romanesque art: the peacock ox eagle hare lion cock crane locust and partridge (50). Their symbolic meaning is mainly derived from the Scriptures or from patristic tradition though some meanings arising from analogy such as that between cruelty and the leopard are immediately obvious (20). The importance in Christianity of the symbols of the dove the lamb and the fish is well known. The significance of the attitudes in which symbolic animals are depicted is usually self-evident: the counterbalancing of two identical—or two different—animals so common in heraldry stands for balance (i.e. justice and order as symbolized for instance by the two snakes of the caduceus); the animals are usually shown supporting a shield or surmounting the crest of a helmet. Jung supports this interpretation with his observation that the counterbalancing of the lion and the unicorn in Britain’s coat of arms stands for the inner stress of balanced opposites finding their equilibrium in the centre (32). In alchemy the counterbalancing of the male and the female of the same species (lion/lioness dog/bitch) signifies the essential contrast between sulphur and mercury the fixed and the volatile elements. This is also the case when a winged animal is opposed to a wingless one. The ancient interest in animals as vehicles of cosmic meanings over and above the mere fact of their physical existence persisted from the earliest beginnings of the Neolithic Age up to as late as 1767 with the publication of such works as Jubile van den Heyligen Macarius. This treatise describes processions in which each symbolic chariot has a characteristic animal (the peacock phoenix pelican unicorn lion eagle stag ostrich dragon crocodile wild boar goat swan winged horse rhinoceros tiger and elephant). These same animals together with many others (such as the duck donkey ox owl horse camel ram pig deer stork cat griffin ibis leopard wolf fly bear bird dove panther fish snake and fox) are those mainly used also as watermarks in papermaking. The use of watermarks undoubtedly mystical and symbolic in origin spread throughout the Western world from the end of the 13th century onwards. All the above particular symbolic uses rest on a general symbolism of animals in which they are related to three main ideas: the animal as a mount (i.e. as a means of transport); as an object of sacrifice; and as an inferior form of life (4). The appearance of animals in dreams or visions as in Fuseli’s famous painting expresses an energy still undifferentiated and not yet rationalized nor yet mastered by the will (in the sense of that which controls the instincts) (31). According to Jung the animal stands for the non-human psyche for the world of subhuman instincts and for the unconscious areas of the psyche. The more primitive the animal the deeper the stratum of which it is an expression. As in all symbolism the greater the number of objects depicted the baser and the more primitive is the meaning (56). Identifying oneself with animals represents integration of the unconscious and sometimes—like immersion in the primal waters—rejuvenation through bathing in the sources of life itself (32). It is obvious that for pre-Christian man (as well as in amoral cults) the animal signifies exaltation rather than opposition. This is clearly seen in the Roman signa showing eagles and wolves symbolically placed on cubes (the earth) and spheres (heaven the universe) in order to express the triumphant power of the force of an instinct. With regard to mythic animals a more extensive treatment of this subject is to be found in the Manual de zoología fantástica of Borges y Guerrero (Mexico and Buenos Aires 1957) in which such creatures are characterized as basically symbolic and in most cases expressive of “cosmic terror.” Also Vicente Risco’s valuable article “Fieras de romance” in Revista de Dialectología y Tradiciones Populares XIV 1958 notebooks 1 and 2 published in Madrid."
ANJANA,A type of witch in Hispanic folklore the name perhaps being derived from Jana or Diana. These witches take on the form of old women to test out the charity of human beings. In their true form they are beautiful young women fair haired and blue-eyed clothed in tunics made of flowers and silver stars. They carry a gold staff and wear green stockings. They watch over animals and have underground palaces full of jewels and other treasure. The touch of their staff turns everything into riches (10). Symbolism of this kind reveals ancestral memories of druidesses; at a deeper level it also signifies the soul renewed by fusion with the “mana personality.” The staff a sigmoid symbol is the emblem of those relationships linking apparently unrelated things. The green stockings allude to the primitive forces of virgin nature. The treasures and riches signify the spiritual powers harboured by the unconscious.
ANTIQUITY,The age of an object confers upon it an additional significance which eventually becomes more important than the original significance of the object itself. The significance of antiquity is derived from the following considerations: (i) Whatever is old is authentic unadulterated true a link with the other world; old things do not deceive therefore they stand for truth itself; (ii) Whatever is old is primitive closer to that “primigenial era” which boasted the “Golden Age” of humanity; (iii) By analogy whatever is old is related to the primitive stages in the individual’s life i.e. to the carefree life of the child the “paradise lost” of childhood.
ANTS,An attribute of Ceres ants were utilized in soothsaying (8). There is an Indian myth in which they symbolize the pettiness of all things living—the fragile character and impotence of existence; but they also represent the life which is superior to human life (60). On account of their multiplicity their symbolic significance is unfavourable.
ANVIL,A symbol of the earth and of matter. It corresponds to the passive and feminine principle as opposed to the hammer which denotes fecundation.
APOCALYPSE,Biblical scholars admit that the Apocalypse symbolically retells the events that herald the end of this world and the beginning of the other (celestial Jerusalem). The lamb symbolizes Jesus as the victim of a sacrifice; the book symbolizes the law; the sword the power of the divine word and the spirit; “animals” represent the four forms of the tetramorph encircling Christ Pantokrator as in habitual iconographic representations. The numbers are generally archetypical in character.
APOCALYPTIC BEAST,A symbol of matter in the process of involution: a snake or a dragon for example in so far as they are enemies of the spirit and a perversion of higher qualities (9). It has sometimes been equated with the feminine principle in so far as this is a source of temptation and corruption and particularly of stagnation in the process of evolution. Myths such as those of Calypso or the sirens are related to this theme.
APOLLO,In mythology and alchemy his spiritual and symbolic significance is identical with that of the sun (15). The spreading golden hairs which crown the god’s head have the same meaning as the bow and arrow (sunrays) (8). The Greek name for Apollo is of course Apollon which means “from the depths of the lion” and expresses the meaningful relationship of the sun with the fifth sign of the Zodiac Leo (48).
APPLE,Being almost spherical in shape the apple signifies totality. It is symbolic of earthly desires or of indulgence in such desires. The warning not to eat the forbidden apple came therefore from the mouth of the supreme being as a warning against the exaltation of materialistic desire (15). The intellect the thirst for knowledge—as Nietzsche realized—is only an intermediate zone between earthly desire and pure spirituality.
AQUARIUS,The eleventh archetypal sign of the Zodiac. Its allegorical representation is a figure of a man pouring water from an amphora. In the Egyptian Zodiac of Denderah Aquarius carries two amphorae. This version merely affects the numerical symbolism; it affords clearer proof of the dual force of the symbol (its active and passive aspects evolution and involution) a duality which is of the essence in the important symbol of the Gemini. All Eastern and Western traditions relate this archetype to the symbolic flood which stands not only for the end of a formal universe but also for the completion of any cycle by the destruction of the power which held its components together. When this power ceases to function the components return to the Akasha—the universal solvent—which is symbolized by Pisces. In these two signs of the Zodiac then the cosmic pralaya or Brahma’s night runs its course. Its function according to Hindu tradition is to reabsorb into Oneness all those elements which originally seceded from it to lead separate individual existences. Thus each end carries the seed of a new beginning (Ouroboros). The Egyptians identified Aquarius with their god Hapi the personification of the Nile whose floods were the source of the agricultural economic and spiritual life of the country. Consequently Aquarius symbolizes the dissolution and decomposition of the forms existing within any process cycle or period; the loosening of bonds; the imminence of liberation through the destruction of the world of phenomena (40 52).
